NorfolkIsland, 15.6, 21.4, 4.6, 4.2, 5.7, ENE, 39.0, ENE, NE, 19.0, 20.0, 80.0, 71.0, 1022.8, 1021.2, 7.0, 4.0, 18.8, 20.3, Yes, Yes
Cairns, 18.6, 29.6, 0.0, 7.8, 11.1, SE, 35.0, S, ESE, 17.0, 28.0, 58.0, 43.0, 1017.2, 1012.9, 1.0, 1.0, 25.0, 28.6, No, No
Perth, 21.3, 35.7, 0.0, 9.6, 8.9, N, 48.0, NE, NNE, 20.0, 20.0, 29.0, 18.0, 1014.9, 1012.2, 7.0, 6.0, 28.7, 34.9, No, No
Portland, 9.6, 20.5, 0.2, 3.6, 0.5, N, 52.0, N, NNW, 17.0, 24.0, 69.0, 36.0, 1014.8, 1009.9, 1.0, 5.0, 12.8, 20.1, No, Yes
Darwin, 24.3, 32.7, 0.0, 4.0, 10.9, NE, 28.0, ENE, NNE, 11.0, 13.0, 80.0, 55.0, 1012.8, 1009.3, 3.0, 3.0, 27.6, 32.1, No, No
SydneyAirport, 19.5, 31.7, 0.0, 9.0, 12.4, NE, 67.0, N, NE, 7.0, 41.0, 51.0, 38.0, 1013.8, 1009.9, 1.0, 1.0, 25.8, 31.1, No, Yes
Moree, 22.7, 34.4, 5.4, 7.2, 13.1, SE, 43.0, NE, ESE, 22.0, 9.0, 69.0, 46.0, 1015.7, 1012.8, 2.0, 5.0, 27.0, 33.3, Yes, No
Mildura, 11.9, 27.2, 0.0, 4.0, 5.0, WNW, 54.0, NNE, NNE, 13.0, 11.0, 69.0, 38.0, 1015.3, 1010.9, 1.0, 7.0, 18.4, 25.9, No, Yes
Cobar, 24.8, 40.8, 0.0, 13.4, 11.3, SE, 30.0, W, SSE, 9.0, 9.0, 34.0, 16.0, 1012.9, 1009.8, 5.0, 3.0, 30.1, 38.9, No, No
MountGambier, 10.2, 12.5, 25.2, 3.0, 0.0, SSW, 52.0, SE, SE, 20.0, 26.0, 96.0, 96.0, 1011.5, 1005.7, 8.0, 8.0, 10.3, 11.1, Yes, Yes
Mildura, 7.7, 18.9, 0.4, 2.4, 4.8, NW, 52.0, NNW, W, 13.0, 24.0, 90.0, 72.0, 1014.9, 1012.2, 8.0, 4.0, 10.4, 17.6, No, Yes
Brisbane, 22.3, 28.3, 2.6, 9.6, 4.2, ENE, 24.0, S, NE, 4.0, 11.0, 86.0, 73.0, 1016.2, 1012.5, 8.0, 4.0, 24.0, 27.8, Yes, Yes
Cairns, 20.9, 26.1, 2.2, 3.4, 3.3, SE, 43.0, S, SSE, 19.0, 17.0, 80.0, 81.0, 1016.8, 1014.3, 6.0, 7.0, 23.6, 24.3, Yes, Yes
Brisbane, 22.9, 29.5, 0.2, 5.4, 9.5, ESE, 33.0, SSE, E, 11.0, 15.0, 64.0, 62.0, 1013.7, 1011.9, 2.0, 7.0, 26.5, 27.5, No, Yes
Hobart, 8.5, 16.7, 0.0, 2.8, 6.1, NW, 65.0, NNW, NW, 19.0, 19.0, 65.0, 44.0, 1008.4, 1009.4, 7.0, 7.0, 12.8, 15.2, No, Yes
Perth, 16.0, 33.5, 0.0, 8.6, 11.9, SW, 39.0, ESE, SW, 9.0, 15.0, 51.0, 43.0, 1019.1, 1017.1, 5.0, 5.0, 25.2, 29.8, No, No
WaggaWagga, 10.9, 20.2, 0.0, 6.6, 0.7, N, 30.0, E, NNW, 6.0, 7.0, 63.0, 41.0, 1012.1, 1010.6, 8.0, 8.0, 17.1, 19.9, No, No
Brisbane, 8.5, 23.4, 0.0, 2.4, 10.2, ENE, 19.0, SW, E, 6.0, 4.0, 56.0, 27.0, 1021.4, 1018.1, 0.0, 0.0, 15.7, 22.6, No, No
MelbourneAirport, 14.3, 23.7, 0.0, 8.0, 4.2, N, 72.0, N, N, 52.0, 39.0, 66.0, 58.0, 1023.4, 1020.0, 7.0, 7.0, 17.4, 22.2, No, Yes
